name,created_at,closed_at,lifespan,pr_id,merged_at,merged
google/closure-compiler,2017-02-03 13:30:04 UTC,2017-02-04 00:55:30 UTC,685,2276,,false
google/closure-compiler,2017-01-09 03:30:18 UTC,2017-01-09 17:47:49 UTC,857,2226,,false
google/closure-compiler,2017-11-07 16:09:56 UTC,2017-11-09 18:36:51 UTC,3027,2707,,false
google/closure-compiler,2017-04-09 02:26:08 UTC,2017-06-14 21:04:36 UTC,96158,2418,,false
google/closure-compiler,2017-05-30 14:00:30 UTC,2017-07-18 15:22:10 UTC,70642,2511,,false
google/closure-compiler,2017-11-06 12:38:18 UTC,2017-12-05 18:30:43 UTC,42112,2706,,false
google/closure-compiler,2017-02-03 13:21:29 UTC,2017-02-04 00:55:30 UTC,694,2275,,false
google/closure-compiler,2017-04-24 01:31:40 UTC,2017-05-26 23:25:28 UTC,47394,2452,,false
google/closure-compiler,2017-02-18 15:23:34 UTC,2017-02-27 21:31:21 UTC,13328,2323,,false
google/closure-compiler,2017-01-03 09:22:20 UTC,2017-01-06 19:33:59 UTC,4931,2220,,false
google/closure-compiler,2017-01-16 03:45:36 UTC,2017-02-02 10:11:47 UTC,24866,2238,,false
google/closure-compiler,2017-10-31 00:36:34 UTC,2017-11-09 18:36:51 UTC,14040,2697,,false
google/closure-compiler,2017-11-09 16:43:17 UTC,2017-11-09 17:17:53 UTC,34,2712,,false
google/closure-compiler,2017-03-14 19:47:20 UTC,2017-03-14 22:20:53 UTC,153,2374,,false
google/closure-compiler,2017-02-27 02:49:36 UTC,2017-07-12 20:06:47 UTC,195437,2338,,false
google/closure-compiler,2015-12-22 03:50:21 UTC,2016-01-06 16:12:23 UTC,22342,1329,,false
google/closure-compiler,2016-09-27 13:10:51 UTC,2016-09-28 18:17:04 UTC,1747,2041,,false
google/closure-compiler,2016-02-15 20:27:12 UTC,2016-02-25 18:08:44 UTC,14261,1552,,false
google/closure-compiler,2016-10-22 23:20:22 UTC,2016-10-26 18:19:39 UTC,5459,2095,,false
google/closure-compiler,2016-10-17 19:07:08 UTC,2016-10-18 18:33:57 UTC,1406,2090,,false
google/closure-compiler,2016-01-24 22:32:19 UTC,2016-02-22 21:30:13 UTC,41698,1433,,false
google/closure-compiler,2016-05-03 12:59:47 UTC,2016-05-04 18:49:11 UTC,1790,1766,,false
google/closure-compiler,2016-01-09 19:01:35 UTC,2016-02-19 14:20:37 UTC,58759,1380,,false
google/closure-compiler,2016-04-08 15:56:26 UTC,2016-05-03 12:53:10 UTC,35817,1715,,false
google/closure-compiler,2016-03-15 23:48:38 UTC,2016-03-22 23:20:27 UTC,10052,1662,,false
google/closure-compiler,2016-07-08 19:24:13 UTC,2016-07-08 23:57:39 UTC,273,1882,,false
google/closure-compiler,2016-03-12 03:14:16 UTC,2016-04-04 23:39:26 UTC,34345,1644,,false
google/closure-compiler,2015-11-24 13:23:34 UTC,2016-08-18 18:31:24 UTC,386228,1268,,false
google/closure-compiler,2016-11-10 14:15:15 UTC,2016-11-11 00:24:19 UTC,609,2140,,false
google/closure-compiler,2016-03-10 18:18:29 UTC,2016-04-05 17:14:53 UTC,37376,1630,,false
google/closure-compiler,2016-03-07 22:49:15 UTC,2016-05-11 23:51:07 UTC,93662,1618,,false
google/closure-compiler,2016-04-21 23:32:06 UTC,2016-04-25 16:30:20 UTC,5338,1750,,false
google/closure-compiler,2016-02-22 05:44:39 UTC,2016-02-22 06:17:04 UTC,33,1581,,false
google/closure-compiler,2016-07-15 22:30:50 UTC,2016-09-26 03:34:48 UTC,103984,1896,,false
google/closure-compiler,2016-04-14 19:02:05 UTC,2016-09-20 21:25:43 UTC,229103,1724,,false
google/closure-compiler,2016-08-27 06:44:13 UTC,2016-08-28 15:17:49 UTC,1953,1981,,false
google/closure-compiler,2016-03-31 05:11:05 UTC,2016-03-31 18:35:51 UTC,804,1700,,false
google/closure-compiler,2016-05-03 17:07:52 UTC,2016-05-03 18:03:10 UTC,56,1768,,false
google/closure-compiler,2015-12-23 01:37:12 UTC,2016-01-08 20:43:23 UTC,24186,1335,,false
google/closure-compiler,2016-07-01 23:13:26 UTC,2016-07-07 21:23:24 UTC,8530,1872,,false
google/closure-compiler,2016-03-10 07:03:39 UTC,2016-03-12 00:40:42 UTC,2497,1623,,false
google/closure-compiler,2016-03-10 05:54:31 UTC,2016-03-12 00:40:41 UTC,2566,1622,,false
google/closure-compiler,2017-04-28 07:49:09 UTC,2017-05-01 17:21:30 UTC,4892,2463,,false
google/closure-compiler,2017-04-09 12:17:31 UTC,2017-06-05 16:51:41 UTC,82354,2419,,false
google/closure-compiler,2017-05-16 17:13:17 UTC,2017-05-16 18:07:30 UTC,54,2496,,false
google/closure-compiler,2017-03-06 13:33:25 UTC,2017-03-10 22:51:48 UTC,6318,2352,,false
google/closure-compiler,2017-08-31 00:24:53 UTC,2017-09-04 20:41:51 UTC,6977,2637,,false
google/closure-compiler,2017-05-03 20:35:55 UTC,2017-07-17 19:34:15 UTC,107939,2475,,false
google/closure-compiler,2017-02-04 13:46:14 UTC,2017-02-08 18:26:15 UTC,6040,2281,,false
google/closure-compiler,2017-04-13 20:26:34 UTC,2017-04-20 20:06:19 UTC,10060,2435,,false
google/closure-compiler,2017-04-18 04:15:25 UTC,2017-04-18 05:30:10 UTC,75,2444,,false
google/closure-compiler,2017-06-16 17:06:16 UTC,2017-06-16 17:26:07 UTC,20,2536,,false
google/closure-compiler,2017-04-20 21:24:55 UTC,2017-04-20 21:26:15 UTC,2,2447,,false
google/closure-compiler,2017-08-05 19:44:51 UTC,2017-08-08 20:41:42 UTC,4377,2604,,false
google/closure-compiler,2017-07-26 12:07:35 UTC,2017-07-28 19:03:35 UTC,3296,2579,,false
