name,repo_name,login,contributions
orientechnologies/orientdb,orientechnologies/orientdb,leosimoesp,1
didi/VirtualAPK,didi/VirtualAPK,Korolye,1
elastic/elasticsearch,elastic/elasticsearch,dseixas,1
signalapp/Signal-Android,signalapp/Signal-Android,euclio,1
springfox/springfox,springfox/springfox,danielwegener,1
spring-projects/spring-boot,spring-projects/spring-boot,dpy1123,1
dbeaver/dbeaver,dbeaver/dbeaver,acherukuri,1
react-native-community/react-native-camera,react-native-community/react-native-camera,gitaaron,1
alibaba/ARouter,alibaba/ARouter,EdisonLiao,1
wix/react-native-navigation,wix/react-native-navigation,NichAga,1
google/guice,google/guice,ben-manes,1
wix/react-native-navigation,wix/react-native-navigation,stefanedberg,1
dbeaver/dbeaver,dbeaver/dbeaver,mirec-m,1
apache/lucene-solr,apache/lucene-solr,1522748243,1
code4craft/webmagic,code4craft/webmagic,INotWant,1
square/okhttp,square/okhttp,sergicastellsague,1
wix/react-native-navigation,wix/react-native-navigation,romandubrov,1
SeleniumHQ/selenium,SeleniumHQ/selenium,kyxap,1
springfox/springfox,springfox/springfox,ircecho,1
ReactiveX/RxJava,ReactiveX/RxJava,Saketme,1
square/picasso,square/picasso,swaprely,1
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,korelstar,1
google/grafika,google/grafika,falary1,1
rstudio/rstudio,rstudio/rstudio,sandhaya4u,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,poicooler,1
gephi/gephi,gephi/gephi,jukkahuhtamaki,1
apache/zeppelin,apache/zeppelin,Akhilsnaik,1
rzwitserloot/lombok,rzwitserloot/lombok,jbarnettwomply,1
wequick/Small,wequick/Small,bovyoung,1
eclipse/jetty.project,eclipse/jetty.project,greatwallgoogle,1
iBotPeaches/Apktool,iBotPeaches/Apktool,VincentJoshuaET,1
SeleniumHQ/selenium,SeleniumHQ/selenium,HartBlanc,1
google/ExoPlayer,google/ExoPlayer,cizarco,1
apache/beam,apache/beam,jackyq2015,1
alibaba/druid,alibaba/druid,xianshi122,1
thingsboard/thingsboard,thingsboard/thingsboard,fahadabid,1
realm/realm-java,realm/realm-java,cioraneanu,1
owncloud/android,owncloud/android,hannesa2,1
SeleniumHQ/selenium,SeleniumHQ/selenium,doshinam,1
jamesdbloom/mockserver,jamesdbloom/mockserver,masher82,1
bluelinelabs/Conductor,bluelinelabs/Conductor,EricKuck,1
flyway/flyway,flyway/flyway,OrenEfron,1
elastic/elasticsearch,elastic/elasticsearch,jilucev,1
owncloud/android,owncloud/android,SamuAlfageme,1
react-native-community/react-native-video,react-native-community/react-native-video,shahen94,1
neo4j/neo4j,neo4j/neo4j,ophileon,1
CrawlScript/WebCollector,CrawlScript/WebCollector,zhoubinghong159261,1
eirslett/frontend-maven-plugin,eirslett/frontend-maven-plugin,Szenmu,1
openzipkin/zipkin,openzipkin/zipkin,wdittmer,1
react-native-community/react-native-video,react-native-community/react-native-video,ywongweb,1
hazelcast/hazelcast,hazelcast/hazelcast,rjatkins,1
wix/react-native-navigation,wix/react-native-navigation,miguelespinoza,1
grandcentrix/tray,grandcentrix/tray,jinfatimay,1
PhilJay/MPAndroidChart,PhilJay/MPAndroidChart,dotfeng,1
termux/termux-app,termux/termux-app,kzahel,1
knightliao/disconf,knightliao/disconf,xingguanghui,1
luojilab/DDComponentForAndroid,luojilab/DDComponentForAndroid,Rethen,1
apache/incubator-skywalking,apache/incubator-skywalking,18474475,1
davideas/FlexibleAdapter,davideas/FlexibleAdapter,rusxakep,1
apache/kafka,apache/kafka,matthedude,1
rzwitserloot/lombok,rzwitserloot/lombok,vipulbansal91,1
dbeaver/dbeaver,dbeaver/dbeaver,rcarlomagno,1
WritingMinds/ffmpeg-android-java,WritingMinds/ffmpeg-android-java,wuxiaoqiang625,1
crate/crate,crate/crate,rps-v,1
naver/pinpoint,naver/pinpoint,daniellhu,1
gocd/gocd,gocd/gocd,CharlesWinter,1
apache/flink,apache/flink,toggm,1
MyCATApache/Mycat-Server,MyCATApache/Mycat-Server,wtzyeah,1
springfox/springfox,springfox/springfox,martinvis,1
flyway/flyway,flyway/flyway,victorroeder,1
square/okhttp,square/okhttp,rbinek,1
junit-team/junit5,junit-team/junit5,seanjreilly,1
square/retrofit,square/retrofit,lxd1047926543,1
medcl/elasticsearch-analysis-ik,medcl/elasticsearch-analysis-ik,neoxue,1
Graylog2/graylog2-server,Graylog2/graylog2-server,mudrunkar,1
brettwooldridge/HikariCP,brettwooldridge/HikariCP,18814127356,1
alibaba/fastjson,alibaba/fastjson,jqncc,1
orientechnologies/orientdb,orientechnologies/orientdb,jcwright77,1
bazelbuild/bazel,bazelbuild/bazel,Syeberman,1
bumptech/glide,bumptech/glide,snehalgongle,1
square/javapoet,square/javapoet,WellingtonCosta,1
arduino/Arduino,arduino/Arduino,sofian,1
dropwizard/dropwizard,dropwizard/dropwizard,milansismanovic,1
brettwooldridge/HikariCP,brettwooldridge/HikariCP,sternr,1
elasticjob/elastic-job-lite,elasticjob/elastic-job-lite,richard-code,1
eugenp/tutorials,eugenp/tutorials,adperezmorales,1
shwenzhang/AndResGuard,shwenzhang/AndResGuard,TragedyGo,1
bumptech/glide,bumptech/glide,shashank090789,1
sockeqwe/mosby,sockeqwe/mosby,sictiru,1
alibaba/vlayout,alibaba/vlayout,yuwoquan,1
Microsoft/malmo,Microsoft/malmo,rodneyp290,1
perwendel/spark,perwendel/spark,radolang,1
dbeaver/dbeaver,dbeaver/dbeaver,jk3us,1
androidannotations/androidannotations,androidannotations/androidannotations,juanmendez,1
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,wrenr,1
springfox/springfox,springfox/springfox,gannonex,1
elastic/elasticsearch,elastic/elasticsearch,dougal,1
gocd/gocd,gocd/gocd,VincenzoDo,1
libgdx/libgdx,libgdx/libgdx,schosin,1
crate/crate,crate/crate,burnes,1
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,tetris4,1
hongyangAndroid/AndroidAutoLayout,hongyangAndroid/AndroidAutoLayout,TimLoong,1
jankotek/mapdb,jankotek/mapdb,jankotek,1
spring-projects/spring-boot,spring-projects/spring-boot,kaleev,1
requery/requery,requery/requery,sixman9,1
springfox/springfox,springfox/springfox,s1mm0t,1
Qihoo360/RePlugin,Qihoo360/RePlugin,manymore13,1
react-native-community/react-native-camera,react-native-community/react-native-camera,rohitgoyal,1
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,julianshak,1
wix/react-native-navigation,wix/react-native-navigation,angelafield,1
qstumn/BadgeView,qstumn/BadgeView,pingia,1
chennaione/sugar,chennaione/sugar,lenos2,1
elastic/elasticsearch,elastic/elasticsearch,viranch,1
pedant/sweet-alert-dialog,pedant/sweet-alert-dialog,fritz-playmaker,1
LWJGL/lwjgl3,LWJGL/lwjgl3,Sliveer,1
crazycodeboy/TakePhoto,crazycodeboy/TakePhoto,Zhangxd77,1
YoKeyword/Fragmentation,YoKeyword/Fragmentation,dushicai,1
square/okhttp,square/okhttp,Kolyall,1
apache/cordova-android,apache/cordova-android,janpio,1
OpenRefine/OpenRefine,OpenRefine/OpenRefine,zazi,1
yanzhenjie/AndPermission,yanzhenjie/AndPermission,yihongyuelan,1
spring-projects/spring-boot,spring-projects/spring-boot,thaiphan,1
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,CreativeMD,1
rest-assured/rest-assured,rest-assured/rest-assured,aleboulanger,1
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,Oritor,1
kdn251/interviews,kdn251/interviews,Youssefares,1
tronprotocol/java-tron,tronprotocol/java-tron,AlmightyKerk,1
orientechnologies/orientdb,orientechnologies/orientdb,MehdiFal,1
bluelinelabs/Conductor,bluelinelabs/Conductor,timrijckaert,1
kabouzeid/Phonograph,kabouzeid/Phonograph,binzhong,1
oblac/jodd,oblac/jodd,schneems,1
realm/realm-java,realm/realm-java,brucemax,1
redisson/redisson,redisson/redisson,fabregaszy,1
square/dagger,square/dagger,swankjesse,1
tronprotocol/java-tron,tronprotocol/java-tron,cmhsu-cs,1
wix/react-native-navigation,wix/react-native-navigation,jamsea,1
Yalantis/GuillotineMenu-Android,Yalantis/GuillotineMenu-Android,BG-Kim,1
signalapp/Signal-Android,signalapp/Signal-Android,Lvl4Sword,1
oracle/graal,oracle/graal,gilles-duboscq,1
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,keaitao0321,1
bazelbuild/bazel,bazelbuild/bazel,wush978,1
uber/AutoDispose,uber/AutoDispose,mmallozzi,1
alibaba/jvm-sandbox,alibaba/jvm-sandbox,ilaotan,1
yanzhenjie/NoHttp,yanzhenjie/NoHttp,adzcsx2,1
alibaba/DataX,alibaba/DataX,jiangnanrusheng,1
spring-projects/spring-boot,spring-projects/spring-boot,PascalSchumacher,1
JanusGraph/janusgraph,JanusGraph/janusgraph,apurva16shiva,1
yanzhenjie/AndPermission,yanzhenjie/AndPermission,qq2519157,1
firebase/quickstart-android,firebase/quickstart-android,qqc,1
jdsjlzx/LRecyclerView,jdsjlzx/LRecyclerView,932236581,1
facebook/facebook-android-sdk,facebook/facebook-android-sdk,PoojaLakkundi,1
spring-projects/spring-boot,spring-projects/spring-boot,Buzzardo,1
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,Xcl4m4t10n,1
elastic/elasticsearch,elastic/elasticsearch,JD557,1
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,tvanh,1
square/retrofit,square/retrofit,EnnaKenT,1
square/okhttp,square/okhttp,Protino,1
square/retrofit,square/retrofit,ech0s7r,1
jenkinsci/jenkins,jenkinsci/jenkins,dobbymoodge,1
termux/termux-app,termux/termux-app,carwyn,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,keung7251,1
Freeyourgadget/Gadgetbridge,Freeyourgadget/Gadgetbridge,Qwertie-,1
zaproxy/zaproxy,zaproxy/zaproxy,codesahil,1
square/moshi,square/moshi,desgraci,1
rzwitserloot/lombok,rzwitserloot/lombok,TokenR1ng,1
hankcs/HanLP,hankcs/HanLP,bugesoft,1
eugenp/tutorials,eugenp/tutorials,agrawalmohit13,1
springfox/springfox,springfox/springfox,tiddman,1
JanusGraph/janusgraph,JanusGraph/janusgraph,rkozmer,1
wix/react-native-navigation,wix/react-native-navigation,Flavien,1
alibaba/fastjson,alibaba/fastjson,SystemTce,1
Qihoo360/RePlugin,Qihoo360/RePlugin,SkyEric,1
dropwizard/dropwizard,dropwizard/dropwizard,uditnarayan,1
neo4j/neo4j,neo4j/neo4j,nicktrav,1
prestodb/presto,prestodb/presto,msdotnetclr,1
NanoHttpd/nanohttpd,NanoHttpd/nanohttpd,cnlas,1
web3j/web3j,web3j/web3j,nf-PostQuantum,1
Netflix/eureka,Netflix/eureka,mattnelson,1
neo4j/neo4j,neo4j/neo4j,petermo13,1
TooTallNate/Java-WebSocket,TooTallNate/Java-WebSocket,ebourg,1
Ereza/CustomActivityOnCrash,Ereza/CustomActivityOnCrash,Ereza,1
apache/kafka,apache/kafka,yujhe,1
zzhoujay/RichText,zzhoujay/RichText,shichunlei,1
cryptomator/cryptomator,cryptomator/cryptomator,t0rv1c,1
elastic/elasticsearch,elastic/elasticsearch,xserrat,1
eugenp/tutorials,eugenp/tutorials,mkuligowski,1
alibaba/freeline,alibaba/freeline,VankaIn,1
google/ExoPlayer,google/ExoPlayer,qvk,1
YoKeyword/Fragmentation,YoKeyword/Fragmentation,StrangerFriend,1
react-native-community/react-native-video,react-native-community/react-native-video,devagul93,1
wix/react-native-navigation,wix/react-native-navigation,sagark1510,1
yarolegovich/DiscreteScrollView,yarolegovich/DiscreteScrollView,doforward,1
medcl/elasticsearch-analysis-ik,medcl/elasticsearch-analysis-ik,raiden2012,1
elastic/elasticsearch,elastic/elasticsearch,jomarl,1
Justson/AgentWeb,Justson/AgentWeb,main404,1
spring-projects/spring-boot,spring-projects/spring-boot,acdcjunior,1
iSoron/uhabits,iSoron/uhabits,morrel,1
react-native-community/react-native-camera,react-native-community/react-native-camera,grantfwilkinson,1
android10/Android-CleanArchitecture,android10/Android-CleanArchitecture,paramadharmika,1
SeleniumHQ/selenium,SeleniumHQ/selenium,daweedz,1
square/leakcanary,square/leakcanary,tankorbox,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,Arnaslt,1
hibernate/hibernate-orm,hibernate/hibernate-orm,MykhayloGnylorybov,1
chrisbanes/PhotoView,chrisbanes/PhotoView,muthuraj57,1
mikepenz/FastAdapter,mikepenz/FastAdapter,monishkamble,1
crazycodeboy/react-native-splash-screen,crazycodeboy/react-native-splash-screen,TsuryKnox,1
react-native-community/react-native-camera,react-native-community/react-native-camera,mylestan,1
Netflix/zuul,Netflix/zuul,stiyyagura,1
tronprotocol/java-tron,tronprotocol/java-tron,patthekenny,1
http-kit/http-kit,http-kit/http-kit,aiba,1
dropwizard/dropwizard,dropwizard/dropwizard,sabarivasan,1
MindorksOpenSource/android-interview-questions,MindorksOpenSource/android-interview-questions,p-v,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,calintamas,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,making,1
JodaOrg/joda-time,JodaOrg/joda-time,mrjink,1
yadav-rahul/TastyToast,yadav-rahul/TastyToast,feisher,1
wasabeef/glide-transformations,wasabeef/glide-transformations,jaredsburrows,1
react-native-community/react-native-camera,react-native-community/react-native-camera,ThomLaGreca,1
androidannotations/androidannotations,androidannotations/androidannotations,gustavotaveira,1
facebook/fresco,facebook/fresco,zhangzhen123,1
jenkinsci/jenkins,jenkinsci/jenkins,michaelneale,1
mongodb/mongo-java-driver,mongodb/mongo-java-driver,thiaguten,1
alibaba/druid,alibaba/druid,kpeng2016,1
ctripcorp/apollo,ctripcorp/apollo,tonyDJB,1
tronprotocol/java-tron,tronprotocol/java-tron,zscole,1
zjw-swun/AppMethodOrder,zjw-swun/AppMethodOrder,Eklett,1
florent37/CameraFragment,florent37/CameraFragment,bmbogdan,1
libgdx/libgdx,libgdx/libgdx,ryanastout,1
google/j2objc,google/j2objc,adil-hussain-84,1
brettwooldridge/HikariCP,brettwooldridge/HikariCP,stepbeekio,1
jfoenixadmin/JFoenix,jfoenixadmin/JFoenix,juril33t,1
junit-team/junit5,junit-team/junit5,rschmitt,1
abel533/Mapper,abel533/Mapper,biggirlo,1
aurelhubert/ahbottomnavigation,aurelhubert/ahbottomnavigation,AdityaAnand1,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,wincod75,1
neo4j/neo4j,neo4j/neo4j,sephib,1
DrKLO/Telegram,DrKLO/Telegram,Jhuff6,1
pili-engineering/PLDroidPlayer,pili-engineering/PLDroidPlayer,AndroidChenLei,1
termux/termux-app,termux/termux-app,dg28gadhavi,1
react-native-community/react-native-camera,react-native-community/react-native-camera,mytac,1
square/okhttp,square/okhttp,sws1011,1
SeleniumHQ/selenium,SeleniumHQ/selenium,balrajHostAnalytics,1
perwendel/spark,perwendel/spark,vladp,1
greenrobot/greenDAO,greenrobot/greenDAO,EnvySongtao,1
wix/react-native-navigation,wix/react-native-navigation,esoterix202,1
apache/rocketmq,apache/rocketmq,Ah39,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,soyoeml,1
SeleniumHQ/selenium,SeleniumHQ/selenium,skyiea,1
arduino/Arduino,arduino/Arduino,MattFryer,1
DuGuQiuBai/Java,DuGuQiuBai/Java,codingLeexh,1
crate/crate,crate/crate,danjal,1
lettuce-io/lettuce-core,lettuce-io/lettuce-core,pujian1984,1
PhilJay/MPAndroidChart,PhilJay/MPAndroidChart,kksingla,1
JetBrains/ideavim,JetBrains/ideavim,lumie1337,1
Jasonchenlijian/FastBle,Jasonchenlijian/FastBle,MisterBowie,1
apache/flink,apache/flink,rmetzger,1
swagger-api/swagger-core,swagger-api/swagger-core,mdzhigarov,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,Michael-Frank,1
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,WooYu,1
geeeeeeeeek/WeChatLuckyMoney,geeeeeeeeek/WeChatLuckyMoney,ray26,1
PhilJay/MPAndroidChart,PhilJay/MPAndroidChart,elf-zwolf,1
zo0r/react-native-push-notification,zo0r/react-native-push-notification,npomfret,1
XRecyclerView/XRecyclerView,XRecyclerView/XRecyclerView,androidzhouquan,1
spring-projects/spring-framework,spring-projects/spring-framework,imasahiro,1
prestodb/presto,prestodb/presto,zhenxiao,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,gbtec-ingogriebsch,1
bumptech/glide,bumptech/glide,Vigroid,1
guardianproject/haven,guardianproject/haven,dsiddy,1
Tencent/tinker,Tencent/tinker,Dpuntu,1
H07000223/FlycoTabLayout,H07000223/FlycoTabLayout,WGwangguan,1
prestodb/presto,prestodb/presto,taoyouxian,1
sparklemotion/nokogiri,sparklemotion/nokogiri,mbklein,1
powermock/powermock,powermock/powermock,hsynkrtl,1
yanzhenjie/AndPermission,yanzhenjie/AndPermission,ezfantasy,1
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,RealMoMo,1
flyway/flyway,flyway/flyway,ppiastucki,1
tronprotocol/java-tron,tronprotocol/java-tron,oferze,1
bumptech/glide,bumptech/glide,Quireg,1
weibocom/motan,weibocom/motan,maregeo,1
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,zhuminjunivan,1
elastic/elasticsearch,elastic/elasticsearch,joshyaugustine,1
Screetsec/TheFatRat,Screetsec/TheFatRat,dakil3165,1
netty/netty,netty/netty,vkostyukov,1
apache/groovy,apache/groovy,alexstajos,1
apache/groovy,apache/groovy,jaikiran,1
googlesamples/easypermissions,googlesamples/easypermissions,Pinggo,1
SeleniumHQ/selenium,SeleniumHQ/selenium,danielsaf,1
LuckSiege/PictureSelector,LuckSiege/PictureSelector,wuMaoTou,1
apache/storm,apache/storm,aqeelvn,1
Netflix/Hystrix,Netflix/Hystrix,bsushant-athena,1
youth5201314/banner,youth5201314/banner,MrDeclanCoder,1
alibaba/jstorm,alibaba/jstorm,20100507,1
iSoron/uhabits,iSoron/uhabits,SomMeri,1
facebook/fresco,facebook/fresco,khannasaransh,1
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,Kharlos,1
eirslett/frontend-maven-plugin,eirslett/frontend-maven-plugin,wangchuanyin,1
hazelcast/hazelcast,hazelcast/hazelcast,hiyelbaz,1
davemorrissey/subsampling-scale-image-view,davemorrissey/subsampling-scale-image-view,braydondavis,1
greenrobot/greenDAO,greenrobot/greenDAO,kpradeepkumarreddy,1
spring-projects/spring-boot,spring-projects/spring-boot,raphw,1
rest-assured/rest-assured,rest-assured/rest-assured,tedcasey,1
jOOQ/jOOQ,jOOQ/jOOQ,rossetti,1
sockeqwe/AdapterDelegates,sockeqwe/AdapterDelegates,OlegKan,1
elastic/elasticsearch,elastic/elasticsearch,deppi,1
elastic/elasticsearch,elastic/elasticsearch,robgil,1
Clans/FloatingActionButton,Clans/FloatingActionButton,long1eu,1
skylot/jadx,skylot/jadx,Ilya-Gazman,1
evant/gradle-retrolambda,evant/gradle-retrolambda,oliverhausler,1
zxing/zxing,zxing/zxing,damorus85,1
mybatis/mybatis-3,mybatis/mybatis-3,PumbaaZp,1
lingochamp/FileDownloader,lingochamp/FileDownloader,yangxiaoyafly,1
rzwitserloot/lombok,rzwitserloot/lombok,NawaMan,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,arpitx165,1
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,stil,1
elasticjob/elastic-job-lite,elasticjob/elastic-job-lite,IcyLemon,1
neo4j/neo4j,neo4j/neo4j,eebus,1
aws/aws-sdk-java,aws/aws-sdk-java,ardias,1
facebook/react-native-fbsdk,facebook/react-native-fbsdk,jemise111,1
alamkanak/Android-Week-View,alamkanak/Android-Week-View,EvanCooper9,1
google/guava,google/guava,mrts,1
nisrulz/sensey,nisrulz/sensey,javadVatan,1
web3j/web3j,web3j/web3j,codingEcho,1
elastic/elasticsearch,elastic/elasticsearch,c84c,1
dropwizard/dropwizard,dropwizard/dropwizard,alexplischke,1
react-native-community/react-native-camera,react-native-community/react-native-camera,greatdg,1
ityouknow/spring-cloud-examples,ityouknow/spring-cloud-examples,followyourheart0,1
json-path/JsonPath,json-path/JsonPath,nitsanw,1
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,fugithub,1
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,Yogeshjuya1993,1
apache/zeppelin,apache/zeppelin,ArunMj,1
jeasonlzy/okhttp-OkGo,jeasonlzy/okhttp-OkGo,Ximano,1
termux/termux-app,termux/termux-app,vganyn,1
square/picasso,square/picasso,Diegitsen,1
bazelbuild/bazel,bazelbuild/bazel,johnynek,1
LuckSiege/PictureSelector,LuckSiege/PictureSelector,jiashunjie,1
stfalcon-studio/ChatKit,stfalcon-studio/ChatKit,bevzaanton,1
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,gangqihong,1
SeleniumHQ/selenium,SeleniumHQ/selenium,moiseshiraldo,1
SplashCodes/JAViewer,SplashCodes/JAViewer,632212192,1
elastic/elasticsearch,elastic/elasticsearch,gavenkoa,1
square/leakcanary,square/leakcanary,autonomousapps,1
xuxueli/xxl-job,xuxueli/xxl-job,Carl-Xiao,1
cryptomator/cryptomator,cryptomator/cryptomator,womotroll,1
react-native-community/react-native-svg,react-native-community/react-native-svg,lepouya,1
ethereum/ethereumj,ethereum/ethereumj,leo-zheng,1
bazelbuild/bazel,bazelbuild/bazel,freme,1
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,guoyongxing,1
react-native-community/react-native-camera,react-native-community/react-native-camera,kraffslol,1
alibaba/ARouter,alibaba/ARouter,x-chf,1
alibaba/fastjson,alibaba/fastjson,yakirChen,1
gyf-dev/ImmersionBar,gyf-dev/ImmersionBar,invokerhaung,1
lzyzsd/JsBridge,lzyzsd/JsBridge,xq598359628,1
SeleniumHQ/selenium,SeleniumHQ/selenium,JyothiMurthy,1
gephi/gephi,gephi/gephi,stewartli,1
eclipse/che,eclipse/che,karlsson82,1
arduino/Arduino,arduino/Arduino,ldpgh,1
youth5201314/banner,youth5201314/banner,guyulei,1
stfalcon-studio/ChatKit,stfalcon-studio/ChatKit,satnamvision,1
sparklemotion/nokogiri,sparklemotion/nokogiri,3rdmaths,1
MiguelCatalan/MaterialSearchView,MiguelCatalan/MaterialSearchView,soenkegissel,1
kabouzeid/Phonograph,kabouzeid/Phonograph,Plastoquinone,1
antlr/antlr4,antlr/antlr4,Braza,1
apache/incubator-skywalking,apache/incubator-skywalking,douwanglong,1
code4craft/webmagic,code4craft/webmagic,zhangleigang,1
react-native-community/react-native-video,react-native-community/react-native-video,kashifaliquazi,1
alibaba/druid,alibaba/druid,JackEggie,1
YoKeyword/Fragmentation,YoKeyword/Fragmentation,DuoLa512,1
apache/beam,apache/beam,sneurlax,1
apache/ignite,apache/ignite,dwimsey,1
h2oai/h2o-3,h2oai/h2o-3,poojavenkatram,1
elastic/elasticsearch,elastic/elasticsearch,davidhesson,1
spring-projects/spring-boot,spring-projects/spring-boot,Blarne,1
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,Anthares,1
elastic/elasticsearch,elastic/elasticsearch,hanbj,1
apache/kafka,apache/kafka,simplesteph,1
immutables/immutables,immutables/immutables,chenrui333,1
ChrisRM/material-theme-jetbrains,ChrisRM/material-theme-jetbrains,yunussandikci,1
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,OpenSourceMIUI,1
Teevity/ice,Teevity/ice,genevera,1
googlesamples/android-Camera2Basic,googlesamples/android-Camera2Basic,rarenivar,1
HoraApps/LeafPic,HoraApps/LeafPic,xxvixxy,1
chrisjenx/Calligraphy,chrisjenx/Calligraphy,uliluck,1
SeleniumHQ/selenium,SeleniumHQ/selenium,nhammERA,1
dbeaver/dbeaver,dbeaver/dbeaver,Yanpas,1
alibaba/druid,alibaba/druid,samz406,1
JesusFreke/smali,JesusFreke/smali,trevorcobb,1
DylanVann/react-native-fast-image,DylanVann/react-native-fast-image,EduardJS,1
openzipkin/zipkin,openzipkin/zipkin,abesto,1
FasterXML/jackson-databind,FasterXML/jackson-databind,ernestojpg,1
wix/react-native-navigation,wix/react-native-navigation,mobitar,1
termux/termux-app,termux/termux-app,moneytoo,1
evernote/android-job,evernote/android-job,pranaysharma,1
wasabeef/glide-transformations,wasabeef/glide-transformations,daesu,1
OpenTSDB/opentsdb,OpenTSDB/opentsdb,nch14,1
apache/ignite,apache/ignite,dmitrievanthony,1
bumptech/glide,bumptech/glide,santhoshrao519,1
FasterXML/jackson-databind,FasterXML/jackson-databind,Masquerade0097,1
Screetsec/TheFatRat,Screetsec/TheFatRat,oyekanwahab,1
rzwitserloot/lombok,rzwitserloot/lombok,fabioformosa,1
eclipse/jetty.project,eclipse/jetty.project,fdummert,1
codecentric/spring-boot-admin,codecentric/spring-boot-admin,anderius,1
eirslett/frontend-maven-plugin,eirslett/frontend-maven-plugin,mjagus,1
iBotPeaches/Apktool,iBotPeaches/Apktool,SeekMyCosmic,1
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,JakeHao,1
apache/kafka,apache/kafka,Bert-R,1
bumptech/glide,bumptech/glide,holoduke,1
dbeaver/dbeaver,dbeaver/dbeaver,jheinrich22,1
react-native-community/react-native-camera,react-native-community/react-native-camera,lucasharada,1
crazycodeboy/react-native-splash-screen,crazycodeboy/react-native-splash-screen,AgNm,1
Curzibn/Luban,Curzibn/Luban,qhzzl,1
xetorthio/jedis,xetorthio/jedis,sunsuk7tp,1
rstudio/rstudio,rstudio/rstudio,kevinykuo,1
oracle/opengrok,oracle/opengrok,dn2k-dev,1
objectbox/objectbox-java,objectbox/objectbox-java,rafakob,1
junit-team/junit5,junit-team/junit5,sdeleuze,1
evrencoskun/TableView,evrencoskun/TableView,nielsnl68,1
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,zhuminjunivan,1
wix/react-native-navigation,wix/react-native-navigation,bluetec,1
hazelcast/hazelcast,hazelcast/hazelcast,googlielmo,1
elastic/elasticsearch,elastic/elasticsearch,philandrews-ixxus,1
SeleniumHQ/selenium,SeleniumHQ/selenium,Bose27,1
web3j/web3j,web3j/web3j,bilthon,1
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,p3lim,1
dbeaver/dbeaver,dbeaver/dbeaver,DuncanBeard,1
SeleniumHQ/selenium,SeleniumHQ/selenium,RickChihu,1
prestodb/presto,prestodb/presto,shaojie1980,1
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,Tabassumbanu786,1
elastic/elasticsearch,elastic/elasticsearch,jgq2008303393,1
spring-projects/spring-boot,spring-projects/spring-boot,avnishkumar,1
apache/beam,apache/beam,joe2016,1
react-native-community/react-native-camera,react-native-community/react-native-camera,bhavyasruthi,1
FinalTeam/RxGalleryFinal,FinalTeam/RxGalleryFinal,AlexZQS,1
netty/netty,netty/netty,AlexLaviolette,1
apache/lucene-solr,apache/lucene-solr,Mandalka,1
ben-manes/caffeine,ben-manes/caffeine,gmazza,1
shuzheng/zheng,shuzheng/zheng,zhoushijin,1
siacs/Conversations,siacs/Conversations,tbeitter,1
lzyzsd/JsBridge,lzyzsd/JsBridge,happybang,1
signalapp/Signal-Android,signalapp/Signal-Android,Dyras,1
bazelbuild/bazel,bazelbuild/bazel,fahhem,1
hazelcast/hazelcast,hazelcast/hazelcast,styjdt,1
