name,repo_name,login,contributions
elastic/elasticsearch,elastic/elasticsearch,ywelsch,78
apache/kafka,apache/kafka,cmccabe,78
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,AlexDBlack,78
junit-team/junit5,junit-team/junit5,sormuras,77
eugenp/tutorials,eugenp/tutorials,pivovarit,77
bazelbuild/bazel,bazelbuild/bazel,jin,77
eclipse/che,eclipse/che,dmytro-ndp,77
OpenRefine/OpenRefine,OpenRefine/OpenRefine,jackyq2015,76
testcontainers/testcontainers-java,testcontainers/testcontainers-java,bsideup,75
apache/beam,apache/beam,DariuszAniszewski,75
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,LexManos,75
oracle/opengrok,oracle/opengrok,idodeclare,74
square/okhttp,square/okhttp,swankjesse,74
Alluxio/alluxio,Alluxio/alluxio,apc999,74
vespa-engine/vespa,vespa-engine/vespa,jonmv,74
apache/beam,apache/beam,akedin,74
apache/beam,apache/beam,aaltay,74
hazelcast/hazelcast,hazelcast/hazelcast,sancar,73
eclipse/che,eclipse/che,tolusha,73
elastic/elasticsearch,elastic/elasticsearch,s1monw,73
eclipse/che,eclipse/che,JamesDrummond,72
redisson/redisson,redisson/redisson,mrniko,71
mikepenz/FastAdapter,mikepenz/FastAdapter,mikepenz,71
vespa-engine/vespa,vespa-engine/vespa,freva,71
apache/flink,apache/flink,StefanRRichter,71
apache/flink,apache/flink,fhueske,70
runelite/runelite,runelite/runelite,UniquePassive,70
eclipse/jetty.project,eclipse/jetty.project,janbartel,70
rstudio/rstudio,rstudio/rstudio,gtritchie,69
uber/AutoDispose,uber/AutoDispose,bangarharshit,69
square/okhttp,square/okhttp,yschimke,69
crate/crate,crate/crate,seut,68
pili-engineering/PLDroidPlayer,pili-engineering/PLDroidPlayer,zshbleaker,67
google/ExoPlayer,google/ExoPlayer,andrewlewis,66
facebook/fresco,facebook/fresco,oprisnik,66
bazelbuild/bazel,bazelbuild/bazel,laszlocsomor,66
SeleniumHQ/selenium,SeleniumHQ/selenium,shs96c,66
eclipse/che,eclipse/che,skabashnyuk,66
elastic/elasticsearch,elastic/elasticsearch,colings86,66
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks,msmith-techempower,65
bazelbuild/bazel,bazelbuild/bazel,ulfjack,65
prestodb/presto,prestodb/presto,haozhun,65
arduino/Arduino,arduino/Arduino,cmaglie,64
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,scwang90,64
confluentinc/ksql,confluentinc/ksql,rodesai,64
vespa-engine/vespa,vespa-engine/vespa,havardpe,63
neo4j/neo4j,neo4j/neo4j,sherfert,63
facebook/fresco,facebook/fresco,erikandre,62
dropwizard/dropwizard,dropwizard/dropwizard,arteam,62
bazelbuild/bazel,bazelbuild/bazel,dslomov,62
apache/kafka,apache/kafka,rhauch,62
neo4j/neo4j,neo4j/neo4j,burqen,62
elastic/elasticsearch,elastic/elasticsearch,nik9000,62
prestodb/presto,prestodb/presto,martint,61
neo4j/neo4j,neo4j/neo4j,thobe,61
wix/react-native-navigation,wix/react-native-navigation,yogevbd,61
resilience4j/resilience4j,resilience4j/resilience4j,RobWin,60
arduino/Arduino,arduino/Arduino,per1234,60
apache/beam,apache/beam,udim,60
grpc/grpc-java,grpc/grpc-java,ericgribkoff,60
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,speednroll,60
keycloak/keycloak,keycloak/keycloak,hmlnarik,60
dropwizard/metrics,dropwizard/metrics,arteam,60
Alluxio/alluxio,Alluxio/alluxio,madanadit,59
h2oai/h2o-3,h2oai/h2o-3,Pscheidl,59
OpenRefine/OpenRefine,OpenRefine/OpenRefine,thadguidry,59
grpc/grpc-java,grpc/grpc-java,carl-mastrangelo,59
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,holy12345,59
jMonkeyEngine/jmonkeyengine,jMonkeyEngine/jmonkeyengine,Nehon,58
gocd/gocd,gocd/gocd,varshavaradarajan,58
eclipse/che,eclipse/che,vzhukovskii,58
hibernate/hibernate-orm,hibernate/hibernate-orm,vladmihalcea,58
jfoenixadmin/JFoenix,jfoenixadmin/JFoenix,jfoenixadmin,57
apache/zookeeper,apache/zookeeper,anmolnar,57
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,bs2609,57
