Source,Target,Weight
apache/kafka,kkonstantine,37
rstudio/rstudio,ronblum,37
siacs/Conversations,licaon-kter,36
apache/kafka,vahidhashemian,36
SonarSource/sonarqube,gregaubert,36
prestodb/presto,yingsu00,36
gephi/gephi,eduramiba,36
google/ExoPlayer,AquilesCanta,36
aws/aws-sdk-java,shorea,36
vespa-engine/vespa,geirst,36
openhab/openhab1-addons,bgilmer77,36
hazelcast/hazelcast,tkountis,36
pmd/pmd,gibarsin,36
googlesamples/easypermissions,samtstern,35
ACRA/acra,F43nd1r,35
objectbox/objectbox-java,greenrobot-team,35
spring-cloud/spring-cloud-netflix,codecov-io,35
google/ExoPlayer,tonihei,35
eclipse/che,vinokurig,35
apache/storm,srdo,35
eclipse/che,vitaliy-guliy,35
swagger-api/swagger-core,frantuma,35
AriaLyy/Aria,AriaLyy,34
mockito/mockito,mockitoguy,34
OpenRefine/OpenRefine,codacy-bot,34
facebook/fresco,facebook-github-bot,34
h2oai/h2o-3,angela0xdata,34
tomakehurst/wiremock,tomakehurst,34
apache/kafka,ConcurrencyPractitioner,34
deeplearning4j/deeplearning4j,saudet,34
netty/netty,johnou,34
AsyncHttpClient/async-http-client,unoexperto,34
spring-projects/spring-boot,bclozel,34
Bigkoo/Android-PickerView,xiaosong520,34
Activiti/Activiti,codacy-bot,34
orientechnologies/orientdb,tglman,33
MinecraftForge/MinecraftForge,Alpvax,33
h2oai/h2o-3,mmalohlava,33
TeamNewPipe/NewPipe,TobiGr,33
Freeyourgadget/Gadgetbridge,ashimokawa,33
codingapi/tx-lcn,1991wangliang,33
jenkinsci/jenkins,svanoort,33
apache/beam,lostluck,33
elastic/elasticsearch,jdconrad,33
TeamNewPipe/NewPipe,wb9688,33
apache/kafka,tedyu,33
runelite/runelite,Abextm,33
neo4j/neo4j,craigtaverner,33
JanusGraph/janusgraph,davidclement90,33
bazelbuild/bazel,mhlopko,33
apache/flink,zhijiangW,32
apache/kylin,asfgit,32
hyb1996/Auto.js,hyb1996,32
testcontainers/testcontainers-java,rnorth,32
YoKeyword/Fragmentation,LonelyMushroom,32
elastic/elasticsearch,olcbean,32
guardianproject/haven,leonardoporpora,32
bigbluebutton/bigbluebutton,OZhurbenko,32
azkaban/azkaban,chengren311,32
orientechnologies/orientdb,laa,32
JessYanCoding/MVPArms,Sum41forever,31
netty/netty,trustin,31
twosigma/beakerx,mjurowicz-xsolve,31
redisson/redisson,jackygurui,31
naver/pinpoint,codecov-io,31
springfox/springfox,codacy-bot,31
prestodb/presto,mbasmanova,31
SeleniumHQ/selenium,p0deje,31
vavr-io/vavr,danieldietrich,31
eclipse/che,mshaposhnik,31
JakeWharton/butterknife,JakeWharton,31
davideas/FlexibleAdapter,davideas,31
bigbluebutton/bigbluebutton,GhaziTriki,31
apereo/cas,CLAassistant,31
vespa-engine/vespa,lesters,30
pmd/pmd,adangel,30
naver/pinpoint,jaehong-kim,30
weibocom/motan,rayzhang0603,30
Alluxio/alluxio,pavelsimo,30
alibaba/druid,wenshao,30
TechEmpower/FrameworkBenchmarks,michaelhixson,30
oracle/graal,dougxc,30
apache/cassandra,aweisberg,29
prestodb/presto,Tartarus0zm,29
auth0/java-jwt,lbalmaceda,29
react-native-community/react-native-camera,nicemanis,29
naver/pinpoint,koo-taejin,29
react-native-community/react-native-camera,jgcmarins,29
eugenp/tutorials,maibin,29
apache/kafka,h314to,29
Activiti/Activiti,ryandawsonuk,29
spring-projects/spring-boot,izeye,29
jMonkeyEngine/jmonkeyengine,stephengold,29
square/javapoet,swankjesse,29
apache/kafka,becketqin,29
eclipse/che,tsmaeder,29
SeleniumHQ/selenium,jleyba,29
twosigma/beakerx,jmsdnns,29
prestodb/presto,AlekseiS,29
grpc/grpc-java,zhangkun83,29
kickstarter/android-oss,eoji,29
spockframework/spock,leonard84,28
hazelcast/hazelcast,blazember,28
Polidea/RxAndroidBle,uKL,28
MinecraftForge/MinecraftForge,sokratis12GR,28
reactor/reactor-core,smaldini,28
elastic/elasticsearch,dadoonet,28
apache/zookeeper,mfenes,28
apache/zeppelin,felixcheung,28
stanfordnlp/CoreNLP,J38,28
resilience4j/resilience4j,storozhukBM,28
apache/storm,roshannaik,27
SonarSource/sonarqube,julienlancelot,27
hazelcast/hazelcast,lprimak,27
lingochamp/FileDownloader,Jacksgong,27
eclipse/che,akurinnoy,27
apache/zeppelin,asfgit,27
spring-projects/spring-boot,mbhave,27
raphw/byte-buddy,raphw,27
MinecraftForge/MinecraftForge,jabelar,27
azkaban/azkaban,jamiesjc,27
hankcs/HanLP,hankcs,27
ethereum/ethereumj,zilm13,26
bazelbuild/bazel,lberki,26
greenrobot/greenDAO,greenrobot-team,26
h2oai/h2o-3,wendycwong,26
mockito/mockito,TimvdLippe,26
hazelcast/hazelcast,pveentjer,26
gocd/gocd,bdpiparva,26
jenkinsci/jenkins,reviewbybees,26
eugenp/tutorials,KevinGilmore,26
codecentric/spring-boot-admin,joshiste,26
hazelcast/hazelcast,viliam-durina,26
zaproxy/zaproxy,zapbot,26
twosigma/beakerx,benmccann,26
runelite/runelite,Sethtroll,26
square/okhttp,JakeWharton,26
naver/pinpoint,emeroad,26
bazelbuild/bazel,katre,26
eclipse/che,dkuleshov,25
testcontainers/testcontainers-java,iNikem,25
JanusGraph/janusgraph,chupman,25
prestodb/presto,ebyhr,25
apache/storm,ptgoetz,25
JanusGraph/janusgraph,mbrukman,25
apache/zookeeper,phunt,25
apache/beam,dmytroivanov4206,25
apache/beam,echauchot,25
eclipse/che,artaleks9,25
OpenRefine/OpenRefine,ostephens,25
netty/netty,bryce-anderson,25
vespa-engine/vespa,mpolden,25
apache/ignite,agura,24
elastic/elasticsearch,liketic,24
vespa-engine/vespa,toregge,24
alibaba/fastjson,wenshao,24
twosigma/beakerx,EfimovVladimir,24
apache/storm,arunmahadevan,24
JanusGraph/janusgraph,jerryjch,24
LuckSiege/PictureSelector,LuckSiege,24
elastic/elasticsearch,romseygeek,24
iBotPeaches/Apktool,iBotPeaches,24
Netflix/zuul,artgon,24
grpc/grpc-java,jyane,24
eclipse/che,olexii4,24
apache/beam,aljoscha,24
Activiti/Activiti,daisuke-yoshimoto,24
huangyanbin/smartTable,huangyanbin,24
java-native-access/jna,matthiasblaesing,23
hazelcast/hazelcast,burakcelebi,23
shwenzhang/AndResGuard,simpleton,23
elastic/elasticsearch,hariso,23
LWJGL/lwjgl3,Spasi,23
neo4j/neo4j,martinfurmanski,23
twosigma/beakerx,jaroslawmalekcodete,23
bazelbuild/bazel,philwo,23
vespa-engine/vespa,aressem,23
spring-projects/spring-boot,vpavic,23
apache/kylin,lidongsjtu,23
deeplearning4j/deeplearning4j,raver119,23
CymChad/BaseRecyclerViewAdapterHelper,1109993488,23
crate/crate,andreidan,23
eclipse/che,AndrienkoAleksandr,23
vespa-engine/vespa,arnej27959,23
square/retrofit,swankjesse,23
bytedeco/javacpp,saudet,23
apache/kafka,umesh9794,23
vespa-engine/vespa,gjoranv,23
prestodb/presto,losipiuk,23
yanzhenjie/SwipeRecyclerView,yanzhenjie,23
apache/storm,omkreddy,23
dbeaver/dbeaver,sirber,23
mybatis/mybatis-3,harawata,23
ThirtyDegreesRay/OpenHub,Henry2o1o,23
Alluxio/alluxio,biaos,23
zxing/zxing,srowen,23
immutables/immutables,elucash,23
guardianproject/haven,percy-g2,23
naver/pinpoint,denzelsN,23
keycloak/keycloak,mposolda,23
reactor/reactor-core,codecov-io,22
eclipse/che,vparfonov,22
eclipse/che,davidwindell,22
hazelcast/hazelcast,kwart,22
TeamNewPipe/NewPipe,karyogamy,22
Freeyourgadget/Gadgetbridge,TaaviE,22
Qihoo360/RePlugin,cundong,22
spring-projects/spring-boot,garyrussell,22
oblac/jodd,moh-sushi,22
bazelbuild/bazel,ittaiz,22
CalebFenton/simplify,CalebFenton,22
eugenp/tutorials,jzheaux,22
libgdx/libgdx,julienvillegas,22
resilience4j/resilience4j,coveralls,22
apereo/cas,cifren,22
pagehelper/Mybatis-PageHelper,abel533,22
guardianproject/haven,fat-tire,22
apache/flink,hequn8128,21
apache/storm,agresch,21
prestodb/presto,wenleix,21
JakeWharton/ThreeTenABP,AndroidDeveloperLB,21
apache/beam,aromanenko-dev,21
elasticjob/elastic-job-lite,terrymanu,21
deeplearning4j/deeplearning4j,agibsonccc,21
Alluxio/alluxio,HUWEIWEI0105,21
twosigma/beakerx,lmitusinski,21
apache/flink,kl0u,21
CalebFenton/simplify,AnotherRandomDeveloper,21
google/closure-compiler,brad4d,21
MinecraftForge/MinecraftForge,gegy1000,21
javaparser/javaparser,cunhazera,21
google/auto,ronshapiro,21
apache/hive,vihangk1,21
grpc/grpc-java,nddipiazza,21
eugenp/tutorials,gautamshetty,21
azkaban/azkaban,HappyRay,21
Freeyourgadget/Gadgetbridge,IzzySoft,21
junit-team/junit5,jbduncan,21
TechEmpower/FrameworkBenchmarks,zloster,21
netty/netty,madgnome,21
neo4j/neo4j,lutovich,21
apache/kafka,junrao,21
jenkinsci/jenkins,dwnusbaum,21
apache/kafka,joel-hamill,21
aurelhubert/ahbottomnavigation,aurelhubert,21
tronprotocol/java-tron,styk-tv,21
dbeaver/dbeaver,ruspl-afed,21
apache/cordova-android,infil00p,20
facebook/buck,jiangty-addepar,20
apereo/cas,3cdota,20
jenkinsci/jenkins,dtrebbien,20
bazelbuild/bazel,davido,20
querydsl/querydsl,Shredder121,20
eclipse/che,RomanNikitenko,20
hazelcast/hazelcast,mdogan,20
raphw/byte-buddy,wltjr,20
eclipse/che,gorkem,20
wix/react-native-navigation,DanielZlotin,20
apache/incubator-skywalking,peng-yongsheng,20
tronprotocol/java-tron,Rovak,20
JanusGraph/janusgraph,Lakedaemon,20
netty/netty,carl-mastrangelo,20
sparklemotion/nokogiri,flavorjones,20
openhab/openhab1-addons,openhab-bot,20
CymChad/BaseRecyclerViewAdapterHelper,elfman,20
MinecraftForge/MinecraftForge,covers1624,20
spring-projects/spring-boot,igor-suhorukov,20
stanfordnlp/CoreNLP,manning,20
CymChad/BaseRecyclerViewAdapterHelper,AllenCoder,20
woxingxiao/BubbleSeekBar,woxingxiao,20
apache/lucene-solr,fsparv,20
rzwitserloot/lombok,rspilker,20
eclipse/che,slemeur,20
TeamNewPipe/NewPipe,mauriciocolli,20
facebook/buck,kageiit,20
square/moshi,NightlyNexus,20
mongodb/mongo-java-driver,jyemin,20
b3log/symphony,88250,20
SeleniumHQ/selenium,jimevans,20
ReactiveX/RxJava,artem-zinnatullin,19
alibaba/canal,agapple,19
mikepenz/AboutLibraries,mikepenz,19
square/moshi,feinstein,19
junit-team/junit5,karayv,19
apache/beam,davidcavazos,19
web3j/web3j,eepstein,19
grpc/grpc-java,rmichela,19
jenkinsci/jenkins,olivergondza,19
spring-cloud/spring-cloud-netflix,dulimitta,19
hazelcast/hazelcast,dbrimley,19
azkaban/azkaban,mtrna,19
h2oai/h2o-3,mdymczyk,19
junit-team/junit5,signed,19
runelite/runelite,SomeoneWithAnInternetConnection,19
hibernate/hibernate-orm,sebersole,19
keycloak/keycloak,pskopek,19
jdsjlzx/LRecyclerView,jdsjlzx,19
google/guava,liach,19
termux/termux-app,Grimler91,18
hazelcast/hazelcast,jerrinot,18
TeamNewPipe/NewPipe,avently,18
runelite/runelite,Noremac201,18
apache/incubator-skywalking,zone1511,18
google/gson,inder123,18
apache/zeppelin,mebelousov,18
apache/lucene-solr,dsmiley,18
Polidea/RxAndroidBle,martiwi,18
bigbluebutton/bigbluebutton,oswaldoacauan,18
apache/zeppelin,karth295,18
bigbluebutton/bigbluebutton,MaximKhlobystov,18
google/closure-compiler,MatrixFrog,18
resilience4j/resilience4j,rLitto,18
xetorthio/jedis,marcosnils,18
hazelcast/hazelcast,hasancelik,18
elastic/elasticsearch,dakrone,18
apache/ignite,dspavlov,18
gephi/gephi,anca912,18
google/ExoPlayer,drhill,18
rstudio/rstudio,dfalty,18
apache/flink,greghogan,18
eclipse/jetty.project,olamy,18
crate/crate,nslater,18
lets-blade/blade,biezhi,18
neo4j/neo4j,systay,18
facebook/fresco,zmroczek,18
apache/kylin,kyotoYaho,18
alibaba/jvm-sandbox,dongchenxu,18
ReactiveX/RxJava,codecov[bot],18
antlr/antlr4,ericvergnaud,17
google/j2objc,tomball,17
square/javapoet,ronshapiro,17
apache/rocketmq,zhouxinyu,17
netty/netty,franz1981,17
hazelcast/hazelcast,Holmistr,17
elastic/elasticsearch,markharwood,17
spring-projects/spring-framework,pivotal-issuemaster,17
apache/kafka,andybryant,17
h2oai/h2o-3,navdeep-G,17
google/guava,cpovirk,17
neo4j/neo4j,praveenag,17
TechEmpower/FrameworkBenchmarks,greenlaw110,17
apache/kafka,Tang8330,17
JakeWharton/ThreeTenABP,JakeWharton,17
spring-cloud/spring-cloud-netflix,pway99,17
react-native-community/react-native-svg,jskidd3,17
apache/flink,xccui,17
facebook/stetho,jasta,17
oblac/jodd,codecov[bot],17
bazelbuild/bazel,aehlig,17
YoKeyword/Fragmentation,quanquan521,17
apache/kafka,edoardocomar,16
neo4j/neo4j,SaschaPeukert,16
elastic/elasticsearch,tvernum,16
Activiti/Activiti,balsarori,16
tronprotocol/java-tron,zhaohong,16
alibaba/fastjson,kimmking,16
bazelbuild/bazel,aj-michael,16
davemorrissey/subsampling-scale-image-view,davemorrissey,16
katzer/cordova-plugin-local-notifications,rwillett,16
kabouzeid/Phonograph,kabouzeid,16
guardianproject/haven,lukeswitz,16
mockito/mockito,marcphilipp,16
querydsl/querydsl,reegnz,16
apache/ignite,slukyano,16
prestodb/presto,redandblack1899,16
apache/beam,huygaa11,16
apache/beam,reuvenlax,16
springfox/springfox,MaksimOrlov,16
apereo/cas,coveralls,16
koral--/android-gif-drawable,koral--,16
orientechnologies/orientdb,blueAnger,16
google/guava,martinfrancois,16
JanusGraph/janusgraph,pluradj,16
NanoHttpd/nanohttpd,LordFokas,16
apache/beam,youngoli,16
pili-engineering/PLDroidPlayer,Greathfs,16
elastic/elasticsearch,PnPie,16
apache/flink,zhangminglei,15
huangyanbin/smartTable,zhouzhuo810,15
wix/react-native-navigation,danielang,15
arduino/Arduino,matthijskooijman,15
ctripcorp/apollo,lepdou,15
floragunncom/search-guard,floragunncom,15
hazelcast/hazelcast,emre-aydin,15
spring-projects/spring-boot,eddumelendez,15
testcontainers/testcontainers-java,jochenhebbrecht,15
wix/react-native-navigation,Moreno97,15
spring-projects/spring-boot,pivotal-issuemaster,15
google/gson,JakeWharton,15
Piasy/BigImageViewer,Piasy,15
gitpitch/gitpitch,gitpitch,15
hazelcast/hazelcast,Mak-Sym,15
MinecraftForge/MinecraftForge,Boundarybreaker,15
spring-projects/spring-boot,dsyer,15
netty/netty,laosijikaichele,15
vespa-engine/vespa,smorgrav,15
prestodb/presto,ggilfb,15
apache/flink,suez1224,15
gotev/android-upload-service,gotev,15
pmd/pmd,rsoesemann,15
web3j/web3j,codecov[bot],15
eclipse/che,mkuznyetsov,15
neo4j/neo4j,spacecowboy,15
luckybilly/CC,luckybilly,15
