name,month,count,lifespan
DylanVann/react-native-fast-image,2018-06-01T00:00:00,6,24269.5
DylanVann/react-native-fast-image,2018-07-01T00:00:00,3,71517.666666666672
DylanVann/react-native-fast-image,2018-08-01T00:00:00,3,40844.666666666672
DylanVann/react-native-fast-image,2018-09-01T00:00:00,10,14005.699999999999
DylanVann/react-native-fast-image,2018-10-01T00:00:00,9,1939.5555555555557
DylanVann/react-native-fast-image,2018-11-01T00:00:00,6,13030.833333333334
DylanVann/react-native-fast-image,2018-12-01T00:00:00,2,2.0
Exrick/xmall,2018-06-01T00:00:00,1,652.0
FasterXML/jackson-databind,2018-02-01T00:00:00,4,382.75
FasterXML/jackson-databind,2018-03-01T00:00:00,3,20065.0
FasterXML/jackson-databind,2018-04-01T00:00:00,2,9769.5
FasterXML/jackson-databind,2018-05-01T00:00:00,3,2350.333333333333
FasterXML/jackson-databind,2018-06-01T00:00:00,2,371.0
FasterXML/jackson-databind,2018-07-01T00:00:00,1,64014.0
FasterXML/jackson-databind,2018-08-01T00:00:00,5,14541.4
FasterXML/jackson-databind,2018-09-01T00:00:00,1,39897.0
FasterXML/jackson-databind,2018-10-01T00:00:00,3,2511.333333333333
FasterXML/jackson-databind,2018-11-01T00:00:00,2,15841.5
FasterXML/jackson-databind,2019-01-01T00:00:00,1,75.0
FinalTeam/RxGalleryFinal,2018-08-01T00:00:00,2,30.5
Flipboard/bottomsheet,2018-02-01T00:00:00,2,4160.5
Freeyourgadget/Gadgetbridge,2018-02-01T00:00:00,5,8693.2
Freeyourgadget/Gadgetbridge,2018-03-01T00:00:00,12,9843.5833333333339
Freeyourgadget/Gadgetbridge,2018-04-01T00:00:00,3,10071.333333333334
Freeyourgadget/Gadgetbridge,2018-05-01T00:00:00,1,22.0
Freeyourgadget/Gadgetbridge,2018-06-01T00:00:00,5,5830.4
Freeyourgadget/Gadgetbridge,2018-07-01T00:00:00,8,16520.625
Freeyourgadget/Gadgetbridge,2018-08-01T00:00:00,19,6910.5789473684208
Freeyourgadget/Gadgetbridge,2018-09-01T00:00:00,8,3870.75
Freeyourgadget/Gadgetbridge,2018-10-01T00:00:00,1,13299.0
Freeyourgadget/Gadgetbridge,2018-11-01T00:00:00,5,9164.0
Freeyourgadget/Gadgetbridge,2018-12-01T00:00:00,4,2309.0
GcsSloop/AndroidNote,2018-11-01T00:00:00,1,175.0
GoogleContainerTools/jib,2018-04-01T00:00:00,4,12907.75
GoogleContainerTools/jib,2018-05-01T00:00:00,44,1256.3636363636363
GoogleContainerTools/jib,2018-06-01T00:00:00,77,3824.1558441558432
GoogleContainerTools/jib,2018-07-01T00:00:00,121,1462.0000000000002
GoogleContainerTools/jib,2018-08-01T00:00:00,86,3808.2558139534885
GoogleContainerTools/jib,2018-09-01T00:00:00,62,4569.177419354839
GoogleContainerTools/jib,2018-10-01T00:00:00,64,4158.75
GoogleContainerTools/jib,2018-11-01T00:00:00,21,2883.9523809523812
GoogleContainerTools/jib,2018-12-01T00:00:00,51,2424.1372549019607
GoogleContainerTools/jib,2019-01-01T00:00:00,2,106.0
Graylog2/graylog2-server,2018-02-01T00:00:00,32,10251.6875
Graylog2/graylog2-server,2018-03-01T00:00:00,28,10138.714285714286
Graylog2/graylog2-server,2018-04-01T00:00:00,27,7190.333333333333
Graylog2/graylog2-server,2018-05-01T00:00:00,12,6908.083333333333
Graylog2/graylog2-server,2018-06-01T00:00:00,18,7139.61111111111
Graylog2/graylog2-server,2018-07-01T00:00:00,22,9689.8636363636342
Graylog2/graylog2-server,2018-08-01T00:00:00,28,5893.2857142857138
Graylog2/graylog2-server,2018-09-01T00:00:00,43,14184.906976744183
Graylog2/graylog2-server,2018-10-01T00:00:00,25,16865.199999999997
Graylog2/graylog2-server,2018-11-01T00:00:00,31,5403.8709677419365
Graylog2/graylog2-server,2018-12-01T00:00:00,26,7165.9615384615381
GrenderG/Toasty,2018-02-01T00:00:00,1,247.0
GrenderG/Toasty,2018-03-01T00:00:00,2,271.5
GrenderG/Toasty,2018-06-01T00:00:00,2,11935.0
GrenderG/Toasty,2018-10-01T00:00:00,1,1720.0
GrenderG/Toasty,2018-11-01T00:00:00,1,43756.0
GrenderG/Toasty,2018-12-01T00:00:00,1,35621.0
HoraApps/LeafPic,2018-02-01T00:00:00,6,9636.0
HoraApps/LeafPic,2018-03-01T00:00:00,4,3391.75
HoraApps/LeafPic,2018-04-01T00:00:00,7,7164.2857142857147
HoraApps/LeafPic,2018-05-01T00:00:00,10,10791.599999999999
HoraApps/LeafPic,2018-06-01T00:00:00,1,45884.0
HoraApps/LeafPic,2018-08-01T00:00:00,1,0.0
Jacksgong/JKeyboardPanelSwitch,2018-05-01T00:00:00,1,192500.0
JackyAndroid/AndroidChromium,2018-11-01T00:00:00,1,1.0
JakeWharton/RxRelay,2018-03-01T00:00:00,1,569.0
JakeWharton/RxRelay,2018-04-01T00:00:00,1,250504.0
JakeWharton/RxRelay,2018-07-01T00:00:00,1,80160.0
JakeWharton/RxRelay,2018-09-01T00:00:00,1,3.0
JakeWharton/Telecine,2018-02-01T00:00:00,1,924.0
JakeWharton/ThreeTenABP,2018-02-01T00:00:00,1,134.0
JakeWharton/ThreeTenABP,2018-03-01T00:00:00,2,1419.5
JakeWharton/ThreeTenABP,2018-04-01T00:00:00,2,19.5
JakeWharton/ThreeTenABP,2018-09-01T00:00:00,1,52585.0
JakeWharton/butterknife,2018-02-01T00:00:00,4,741.25
JakeWharton/butterknife,2018-03-01T00:00:00,3,388.0
JakeWharton/butterknife,2018-04-01T00:00:00,5,426.0
JakeWharton/butterknife,2018-06-01T00:00:00,2,5234.5
JakeWharton/butterknife,2018-07-01T00:00:00,2,25330.5
JakeWharton/butterknife,2018-08-01T00:00:00,1,46366.0
JakeWharton/butterknife,2018-09-01T00:00:00,24,5634.791666666667
JakeWharton/butterknife,2018-10-01T00:00:00,4,11268.0
JakeWharton/butterknife,2018-11-01T00:00:00,2,3642.5
JakeWharton/butterknife,2018-12-01T00:00:00,1,24.0
JakeWharton/timber,2018-02-01T00:00:00,3,264.33333333333331
JakeWharton/timber,2018-03-01T00:00:00,11,6777.09090909091
JakeWharton/timber,2018-04-01T00:00:00,2,490.0
JanusGraph/janusgraph,2018-02-01T00:00:00,9,27956.666666666672
JanusGraph/janusgraph,2018-03-01T00:00:00,10,20451.7
JanusGraph/janusgraph,2018-04-01T00:00:00,9,29447.333333333336
JanusGraph/janusgraph,2018-05-01T00:00:00,11,28218.636363636364
JanusGraph/janusgraph,2018-06-01T00:00:00,16,24464.000000000004
JanusGraph/janusgraph,2018-07-01T00:00:00,16,21610.75
JanusGraph/janusgraph,2018-08-01T00:00:00,11,28455.818181818184
JanusGraph/janusgraph,2018-09-01T00:00:00,5,4161.4
JanusGraph/janusgraph,2018-10-01T00:00:00,7,32895.714285714283
JanusGraph/janusgraph,2018-11-01T00:00:00,2,17186.5
JanusGraph/janusgraph,2018-12-01T00:00:00,1,11732.0
Jasonchenlijian/FastBle,2018-05-01T00:00:00,1,11954.0
JeffLi1993/springboot-learning-example,2018-08-01T00:00:00,1,2.0
JessYanCoding/AndroidAutoSize,2018-08-01T00:00:00,1,10.0
JessYanCoding/AndroidAutoSize,2018-10-01T00:00:00,2,445.0
JesusFreke/smali,2018-06-01T00:00:00,11,18421.18181818182
JesusFreke/smali,2018-07-01T00:00:00,2,23638.0
JesusFreke/smali,2018-10-01T00:00:00,4,2650.5
JetBrains/ideavim,2018-02-01T00:00:00,3,54656.333333333336
JetBrains/ideavim,2018-03-01T00:00:00,1,78244.0
JetBrains/ideavim,2018-04-01T00:00:00,1,0.0
JetBrains/ideavim,2018-05-01T00:00:00,4,36247.25
JetBrains/ideavim,2018-06-01T00:00:00,1,13395.0
JetBrains/ideavim,2018-07-01T00:00:00,1,34827.0
JetBrains/ideavim,2018-08-01T00:00:00,3,12184.666666666668
JetBrains/ideavim,2018-09-01T00:00:00,2,10326.5
JetBrains/ideavim,2018-10-01T00:00:00,4,64731.75
JodaOrg/joda-time,2018-02-01T00:00:00,1,4813.0
JodaOrg/joda-time,2018-08-01T00:00:00,2,34297.0
JodaOrg/joda-time,2018-09-01T00:00:00,2,16.5
JodaOrg/joda-time,2018-10-01T00:00:00,1,13982.0
JodaOrg/joda-time,2018-11-01T00:00:00,1,535.0
Justson/AgentWeb,2018-02-01T00:00:00,1,168.0
Justson/AgentWeb,2018-03-01T00:00:00,1,184505.0
Karumi/Dexter,2018-03-01T00:00:00,1,141571.0
Karumi/Dexter,2018-04-01T00:00:00,1,105601.0
Karumi/Dexter,2018-06-01T00:00:00,2,7089.0
Karumi/Dexter,2018-08-01T00:00:00,1,3112.0
KeepSafe/TapTargetView,2018-02-01T00:00:00,1,3917.0
KeepSafe/TapTargetView,2018-03-01T00:00:00,1,1337.0
KeepSafe/TapTargetView,2018-04-01T00:00:00,1,419.0
KeepSafe/TapTargetView,2018-07-01T00:00:00,3,0.0
KeepSafe/TapTargetView,2018-09-01T00:00:00,3,11646.333333333334
KeepSafe/TapTargetView,2018-10-01T00:00:00,3,697.0
Konloch/bytecode-viewer,2018-02-01T00:00:00,1,93827.0
Konloch/bytecode-viewer,2018-03-01T00:00:00,2,1.5
Konloch/bytecode-viewer,2018-07-01T00:00:00,2,28.0
Krupen/FabulousFilter,2018-03-01T00:00:00,1,659.0
LMAX-Exchange/disruptor,2018-03-01T00:00:00,1,17945.0
LMAX-Exchange/disruptor,2018-10-01T00:00:00,1,3143.0
LWJGL/lwjgl3,2018-02-01T00:00:00,4,112531.25
LWJGL/lwjgl3,2018-05-01T00:00:00,1,904.0
LWJGL/lwjgl3,2018-08-01T00:00:00,1,71776.0
LWJGL/lwjgl3,2018-09-01T00:00:00,2,21812.0
LWJGL/lwjgl3,2018-11-01T00:00:00,4,3258.25
LWJGL/lwjgl3,2018-12-01T00:00:00,1,643.0
LawnchairLauncher/Lawnchair,2018-02-01T00:00:00,7,26156.0
LawnchairLauncher/Lawnchair,2018-03-01T00:00:00,21,2792.0
LawnchairLauncher/Lawnchair,2018-04-01T00:00:00,3,25958.0
LawnchairLauncher/Lawnchair,2018-05-01T00:00:00,5,8500.4
LawnchairLauncher/Lawnchair,2018-06-01T00:00:00,12,17881.833333333332
LawnchairLauncher/Lawnchair,2018-07-01T00:00:00,6,321.66666666666663
LawnchairLauncher/Lawnchair,2018-10-01T00:00:00,1,89.0
LawnchairLauncher/Lawnchair,2018-11-01T00:00:00,1,7753.0
M66B/NetGuard,2018-03-01T00:00:00,5,106.8
M66B/NetGuard,2018-07-01T00:00:00,1,19.0
M66B/NetGuard,2018-09-01T00:00:00,1,2.0
M66B/NetGuard,2018-12-01T00:00:00,2,712.0
MagicMashRoom/SuperCalendar,2018-02-01T00:00:00,1,2.0
Manabu-GT/ExpandableTextView,2018-06-01T00:00:00,1,2.0
Meituan-Dianping/Robust,2018-02-01T00:00:00,5,10289.8
Meituan-Dianping/Robust,2018-03-01T00:00:00,3,8127.0
Meituan-Dianping/Robust,2018-04-01T00:00:00,6,3708.3333333333335
Microsoft/malmo,2018-02-01T00:00:00,3,0.66666666666666663
Microsoft/malmo,2018-03-01T00:00:00,3,53313.666666666664
Microsoft/malmo,2018-04-01T00:00:00,6,8244.0
Microsoft/malmo,2018-05-01T00:00:00,4,29106.75
Microsoft/malmo,2018-06-01T00:00:00,3,4501.666666666667
Microsoft/malmo,2018-07-01T00:00:00,4,16505.0
Microsoft/malmo,2018-08-01T00:00:00,5,8109.8
Microsoft/malmo,2018-09-01T00:00:00,4,25854.0
Microsoft/malmo,2018-10-01T00:00:00,6,15668.0
Microsoft/malmo,2018-11-01T00:00:00,5,3.6
MikeOrtiz/TouchImageView,2018-10-01T00:00:00,2,35250.0
MikeOrtiz/TouchImageView,2018-12-01T00:00:00,3,368.33333333333331
MindorksOpenSource/PRDownloader,2018-04-01T00:00:00,2,0.0
MindorksOpenSource/PRDownloader,2018-09-01T00:00:00,1,123920.0
MindorksOpenSource/PRDownloader,2018-12-01T00:00:00,1,440.0
MindorksOpenSource/android-interview-questions,2018-02-01T00:00:00,2,44012.5
MindorksOpenSource/android-interview-questions,2018-03-01T00:00:00,1,20.0
